symbol,date,open,high,low,close,volume
AAPL,2026-05-29,311.775,315.0,309.53,312.06,70026752
AAPL,2026-05-28,310.68,312.8,309.57,312.51,48220390
AAPL,2026-05-27,308.33,313.26,308.3,310.85,50430919
AAPL,2026-05-26,309.56,311.82,307.67,308.33,48000493
AAPL,2026-05-22,306.12,311.4,305.84,308.82,43670223
AAPL,2026-05-21,301.055,305.54,300.4,304.99,42965126
AAPL,2026-05-20,298.18,302.8,298.08,302.25,37307876
AAPL,2026-05-19,296.97,300.51,296.35,298.97,42243561
AAPL,2026-05-18,300.24,300.66,294.91,297.84,34482959
AAPL,2026-05-15,297.9,303.2,296.52,300.23,54862836
AAPL,2026-05-14,299.82,300.45,295.38,298.21,35324922
AAPL,2026-05-13,293.5,300.92,293.5,298.87,52684260
AAPL,2026-05-12,292.56,295.27,292.56,294.8,45748129
AAPL,2026-05-11,291.979,293.88,290.23,292.68,42247285
AAPL,2026-05-08,290.01,294.76,290.0,293.32,52692761
AAPL,2026-05-07,289.27,292.13,285.78,287.44,45224300
AAPL,2026-05-06,281.915,288.03,281.07,287.51,58336072
AAPL,2026-05-05,276.925,284.57,276.501,284.18,49311712
AAPL,2026-05-04,279.655,280.63,274.8601,276.83,46668401
AAPL,2026-05-01,278.855,287.22,278.37,280.14,79915442
AAPL,2026-04-30,270.5,276.0,268.14,271.35,91848230
AAPL,2026-04-29,267.55,271.04,267.04,270.17,30047869
AAPL,2026-04-28,272.335,273.23,268.66,270.71,40018940
AAPL,2026-04-27,266.09,268.36,265.07,267.61,41466762
AAPL,2026-04-24,272.755,273.06,269.65,271.06,38157110
AAPL,2026-04-23,275.045,275.77,271.65,273.43,33399639
AAPL,2026-04-22,267.82,273.74,266.87,273.17,43249204
AAPL,2026-04-21,271.5,272.8,265.4,266.17,50209755
AAPL,2026-04-20,270.33,274.275,270.29,273.05,36590169
AAPL,2026-04-17,266.96,272.3,266.72,270.23,61436228
GOOGL,2026-05-29,385.24,385.24,378.46,380.34,44415846
GOOGL,2026-05-28,388.0,391.87,385.16,390.13,24357455
GOOGL,2026-05-27,386.665,393.88,385.9,388.83,23087287
GOOGL,2026-05-26,384.51,389.2599,382.6,388.88,27747388
GOOGL,2026-05-22,387.345,388.74,381.7716,382.97,20442123
GOOGL,2026-05-21,385.7,392.5,383.02,387.66,24852843
GOOGL,2026-05-20,387.7,393.8599,382.9,388.91,30504055
GOOGL,2026-05-19,396.96,397.15,386.11,387.66,39545672
GOOGL,2026-05-18,395.685,408.61,394.53,396.94,26837196
